id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
1300402,102077401,Musée Camarguais,,Rue Yvan Audouard,13200,Pont-de-Crau,France,fr,open,43.673154249999996,4.639065631892316,,,,2002,payant:18283;gratuit:5982,label:musee de france,
1301103,446697908,Musée d'Histoire et d'Archéologie des Baux-de-Provence,,Place Louis Jou,13520,Les Baux-de-Provence,France,fr,open,43.74474145,4.794991401666666,,,,2002,payant:274402;gratuit:0,label:musee de france,
1320101,67708610,Musée Grobet-Labadié,,Place Henri Dunant,13001,Marseille,France,fr,open,43.30331955,5.392977868575647,,,,2002,payant:2868;gratuit:10119,label:musee de france,
1320801,168685674,Musée de la Faïence,7,Promenade Robert Laffont,13002,Marseille,France,fr,open,43.29672875,5.361025473368164,,,,2002,payant:5138;gratuit:12528,label:musee de france,
8311901,179780946,Musée de l'Annonciade,,Place Georges Grammont,83990,Saint-Tropez,France,fr,open,43.271077,6.637054030608436,,,,2002,payant:43058;gratuit:5711,label:musee de france,
0119201,1357668479,Musée Archéologique,,Place de l'Église,01580,Izernore,France,fr,open,46.220134,5.5548124,,,,2002,payant:0;gratuit:118,label:musee de france,
7401001,4891589833,Musée-château d'Annecy,,Rampe du Château,74000,Annecy,France,fr,open,45.8976583,6.1260527,,,,2002,payant:59313;gratuit:55431,label:musee de france,
3819101,,Musée d'Huez et de l'Oisans,,,,ALPE D'HUEZ,France,fr,open,,,,,,2002,payant:3809;gratuit:405,label:musee de france,
4205202,2959298116,Musée de la Soierie,,Rue Jean Morel,42190,Charlieu,France,fr,open,46.159575,4.1712806,,,,2002,payant:8975;gratuit:2407,label:musee de france,
4209101,,Musée d'Histoire du  20ème Siècle - Résistance et Déportation,,,,ESTIVAREILLES,France,fr,open,,,,,,2002,payant:3271;gratuit:764,label:musee de france,
4218401,,Musée de la Maille,,,,RIORGES,France,fr,closed,,,,,,2002,payant:0;gratuit:0,label:musee de france,
4221803,,Musée Folklorique du Vieux Saint-Etienne,,,,SAINT-ETIENNE,France,fr,open,,,,,,2002,payant:1496;gratuit:0,label:musee de france,
6938501,700244364,Musées Gadagne,,Rue de la Fronde,69005,Lyon,France,fr,open,45.7640445,4.827288742103092,,,,2002,payant:17202;gratuit:18223,label:musee de france,
6938602,51263801,Muséum d'Histoire Naturelle,,Avenue de Lyon,73000,Chambéry,France,fr,open,45.564102399999996,5.916291852044658,,,,2002,payant:46044;gratuit:91680,label:musee de france,
6916801,,Musée Henri Malartre,,,,ROCHETAILLEE-SUR-SAONE,France,fr,open,,,,,,2002,payant:25446;gratuit:26812,label:musee de france,
7300801,79376440,Musée du docteur Faure,,Boulevard des Côtes,73100,Aix-les-Bains,France,fr,open,45.6925521,5.915906815022636,,,,2002,payant:9387;gratuit:3850,label:musee de france,
7306502,55112807,Musée Savoisien,,Place Métropole,73000,Chambéry,France,fr,open,45.56549205,5.922931048911965,,,,2002,payant:6268;gratuit:12721;label-date:06/01/2002,label:musee de france,
